,c_charge_degree,race,age_cat,sex,age,priors_count,juv_fel_count,juv_misd_count,score_text,two_year_recid,is_recid,training_value,decile_score
285,F,African-American,Greater than 45,Male,52,3,0,0,1,1,1,0.26363796,6
286,F,African-American,25 - 45,Male,43,0,0,0,0,0,0,0.25205502,1
287,F,Caucasian,25 - 45,Male,37,3,0,0,0,0,0,0.1971642,1
288,M,African-American,25 - 45,Male,28,3,0,0,0,1,1,0.69214475,4
289,M,Caucasian,Greater than 45,Male,70,1,0,0,0,0,0,0.14645459,1
290,F,Caucasian,Greater than 45,Male,54,6,0,0,0,1,1,0.4285213,2
291,F,Caucasian,Greater than 45,Male,46,3,0,0,0,0,0,0.32900023,4
292,M,African-American,Less than 25,Male,21,0,0,0,1,1,1,0.668461,9
293,M,African-American,25 - 45,Male,26,1,0,0,1,1,1,0.37834576,8
295,M,Caucasian,25 - 45,Male,34,5,0,0,0,0,0,0.43795428,4
296,F,African-American,Less than 25,Male,19,1,0,0,1,1,1,0.6798683,5
297,M,African-American,25 - 45,Male,34,5,0,0,0,0,0,0.61462766,4
298,F,Caucasian,Less than 25,Male,23,0,0,0,1,1,1,0.40954345,5
299,F,African-American,25 - 45,Male,34,5,0,0,0,1,1,0.9493408,4
300,F,African-American,25 - 45,Male,30,2,0,0,0,0,0,0.44763604,1
301,F,African-American,25 - 45,Male,39,6,0,0,0,1,1,0.43759122,3
303,M,Caucasian,25 - 45,Male,33,1,0,0,0,1,1,0.23314978,3
304,F,Caucasian,Greater than 45,Male,58,2,0,0,0,0,0,0.23051761,3
305,M,African-American,Less than 25,Female,21,0,0,0,1,0,0,0.53800786,6
306,F,African-American,Less than 25,Male,21,1,0,0,1,0,1,0.6065532,5
307,M,African-American,Less than 25,Male,23,4,0,0,1,1,1,0.8427615,8
308,F,Caucasian,Greater than 45,Male,62,0,0,0,0,0,0,0.16353948,1
309,M,African-American,25 - 45,Male,27,4,1,0,1,1,1,0.8681914,8
310,F,Caucasian,25 - 45,Male,37,5,0,0,0,0,0,0.5673156,3
312,F,African-American,25 - 45,Female,32,5,0,0,0,0,0,0.6713477,1
314,M,African-American,25 - 45,Male,27,0,0,0,0,0,0,0.43014938,1
315,M,Caucasian,25 - 45,Male,44,0,0,0,0,1,1,0.26243198,1
316,M,Caucasian,25 - 45,Male,28,3,0,0,0,1,1,0.6203652,3
317,F,Caucasian,25 - 45,Female,42,0,0,0,0,0,0,0.09029672,2
319,F,African-American,25 - 45,Male,27,0,0,0,0,0,0,0.27268836,2
320,F,African-American,Less than 25,Male,20,0,0,0,1,1,1,0.53270984,10
321,M,Caucasian,Greater than 45,Female,51,0,0,0,0,0,0,0.102715865,1
322,M,Caucasian,Greater than 45,Male,56,0,0,0,0,0,0,0.044818398,1
323,F,African-American,25 - 45,Male,29,7,0,0,1,0,0,0.82246447,9
324,F,African-American,Less than 25,Male,20,0,0,0,1,1,1,0.5732893,9
325,F,Caucasian,Greater than 45,Male,53,6,0,0,0,0,0,0.34247223,1
326,F,Caucasian,25 - 45,Male,27,8,0,0,1,0,0,0.8763489,5
327,F,African-American,Less than 25,Male,24,2,0,1,1,1,1,0.8395673,9
328,F,Caucasian,Greater than 45,Male,53,36,0,0,1,1,1,0.773941,6
329,M,Caucasian,25 - 45,Male,28,2,0,0,0,1,1,0.43479687,3
330,F,African-American,Greater than 45,Male,45,1,0,0,0,0,0,0.060181785,1
332,F,African-American,25 - 45,Female,36,0,0,0,1,0,0,0.25969222,7
333,M,Caucasian,25 - 45,Female,25,2,0,0,0,1,1,0.73379195,4
335,F,Caucasian,25 - 45,Male,28,1,0,0,1,0,0,0.35903487,5
336,F,African-American,Less than 25,Female,21,0,0,0,1,1,1,0.6879016,8
337,M,Caucasian,25 - 45,Male,36,0,0,0,0,0,0,0.24576494,3
338,F,African-American,Less than 25,Male,24,0,0,0,0,0,0,0.54228866,3
339,F,African-American,25 - 45,Male,28,3,0,0,1,1,1,0.65192914,6
341,F,African-American,25 - 45,Male,29,0,0,0,0,0,0,0.35317612,1
342,M,Caucasian,25 - 45,Female,30,0,0,0,1,0,0,0.26734886,6
345,F,African-American,25 - 45,Female,25,2,0,0,1,0,0,0.4595286,6
346,F,African-American,25 - 45,Male,32,12,0,1,1,1,1,0.9735267,9
347,F,African-American,Less than 25,Male,23,1,0,0,1,0,0,0.440851,6
348,F,African-American,Greater than 45,Male,47,3,0,0,0,0,0,0.2214887,3
350,F,Caucasian,25 - 45,Male,37,0,0,0,0,0,0,0.2940869,1
351,F,African-American,Less than 25,Male,19,2,0,2,1,1,1,0.9891584,10
354,F,Caucasian,Less than 25,Female,21,0,0,0,1,0,0,0.5102499,6
355,M,Caucasian,Greater than 45,Male,69,0,0,0,0,0,0,0.15142825,1
356,F,Caucasian,Less than 25,Male,21,2,0,0,1,0,0,0.7903893,6
357,M,African-American,25 - 45,Male,26,6,0,0,1,1,1,0.74559623,10
358,F,Caucasian,Less than 25,Male,22,0,0,0,0,0,0,0.5497601,4
359,F,African-American,Less than 25,Female,23,0,0,0,1,1,1,0.5038397,5
360,F,African-American,Greater than 45,Male,49,3,0,0,1,0,0,0.20610324,5
361,M,African-American,25 - 45,Male,29,2,0,0,0,0,1,0.41390514,4
362,M,Caucasian,Greater than 45,Female,60,0,0,0,0,0,0,0.1323973,1
363,M,African-American,25 - 45,Female,26,0,0,0,1,0,0,0.3596205,10
364,F,African-American,Less than 25,Male,23,3,2,0,1,1,1,0.5383431,10
368,F,Caucasian,25 - 45,Male,30,0,0,0,0,0,0,0.47606376,4
369,F,African-American,Less than 25,Male,21,1,0,1,0,0,1,0.873145,3
370,M,Caucasian,Less than 25,Male,22,2,0,0,1,1,1,0.6630588,6
371,F,African-American,Greater than 45,Male,57,18,0,0,1,0,0,0.79168385,8
372,F,African-American,Less than 25,Male,21,4,0,0,1,1,1,0.8530562,9
373,F,African-American,Less than 25,Male,21,0,0,0,1,1,1,0.520106,5
374,M,Caucasian,25 - 45,Male,34,1,0,0,0,0,0,0.42798266,1
375,M,Caucasian,Greater than 45,Female,50,1,0,0,0,1,1,0.3047176,1
376,F,Caucasian,25 - 45,Male,40,0,0,0,1,1,1,0.09839256,7
377,F,African-American,25 - 45,Male,25,7,0,0,1,1,1,0.89942706,8
378,M,Caucasian,Greater than 45,Female,53,1,0,0,0,0,0,0.21479435,1
379,F,African-American,Less than 25,Female,24,0,0,0,0,0,0,0.46245366,4
380,F,African-American,25 - 45,Male,42,1,0,0,0,0,0,0.18859255,1
381,M,African-American,25 - 45,Male,28,1,0,0,0,0,0,0.40672567,3
382,M,Caucasian,Less than 25,Male,24,1,0,0,0,0,0,0.39003974,4
383,F,African-American,25 - 45,Male,26,6,1,1,1,1,1,0.8770723,8
384,F,African-American,Less than 25,Male,22,4,0,0,1,1,1,0.88616115,9
385,M,Caucasian,Less than 25,Male,21,3,0,0,1,0,0,0.74592596,7
386,F,African-American,25 - 45,Male,37,23,0,0,1,1,1,0.9839463,9
387,F,African-American,25 - 45,Male,35,2,0,0,1,0,0,0.27375558,5
388,F,African-American,Greater than 45,Male,53,2,0,0,0,0,0,0.08059982,1
389,F,African-American,Greater than 45,Male,60,1,0,0,0,0,0,0.13259351,1
390,F,African-American,25 - 45,Male,29,7,0,0,0,0,1,0.6721152,4
391,F,Caucasian,Greater than 45,Male,48,23,1,0,1,1,1,0.9997732,8
392,M,Caucasian,Greater than 45,Female,52,0,0,0,0,0,0,0.041978687,1
393,F,African-American,25 - 45,Male,27,12,0,0,1,1,1,0.9988877,8
394,F,African-American,25 - 45,Male,28,5,0,0,1,0,1,0.76315284,9
395,M,Caucasian,25 - 45,Male,33,3,0,0,0,0,0,0.5047844,3
397,F,Caucasian,Greater than 45,Male,47,5,0,0,1,1,1,0.30766198,10
398,F,African-American,25 - 45,Male,36,14,0,0,1,1,1,0.8731888,7
399,F,African-American,25 - 45,Male,29,2,1,0,1,0,0,0.7869032,5
400,M,African-American,Less than 25,Male,22,0,0,0,1,1,1,0.5808254,9
401,F,African-American,25 - 45,Male,26,6,0,0,1,0,0,0.73140764,7
402,F,Caucasian,25 - 45,Male,25,0,0,0,0,0,0,0.4848958,2
403,F,Caucasian,Greater than 45,Male,68,2,0,0,0,0,0,0.03897859,1
404,F,African-American,Greater than 45,Male,56,5,0,0,0,0,0,0.47230947,3
405,F,African-American,25 - 45,Male,27,9,0,0,1,1,1,0.8555911,8
406,F,Caucasian,Greater than 45,Male,52,4,0,0,0,1,1,0.20407644,1
407,F,African-American,25 - 45,Male,32,3,0,0,0,0,0,0.43108323,2
410,M,Caucasian,25 - 45,Female,39,0,0,0,1,0,0,0.13681465,6
411,M,Caucasian,Greater than 45,Male,56,0,0,0,0,0,0,0.04997826,1
412,F,African-American,Less than 25,Female,22,0,0,0,1,0,0,0.5174213,7
